Borough,Borough (upper),District,CCU,Block,Lot,OwnerType,Status_Date,Address,,,,,,,,BoroughB,Borough (upper),DistrictB,CCU,BlockB,LotB,OwnerTypeB,Status_Date,AddressB,LatB,LongB,,,,,,BoroughBR,,DistrictBR,,,,OwnerTypeBR,,AddressBR,LatBR,LongBR,,,,,,BoroughM,,DistrictM,,,,OwnerTypeM,,AddressM,LatM,LongM,,,,,,BoroughQ,,DistrictQ,,,,OwnerTypeQ,,AddressQ,LatQ,LongQ,,,,,,,,BoroughS,,DistrictS,,,,OwnerTypeS,AddressS,,LatQ,LongQ
bronx,BRONX,3,12-05331,2383,8900,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,8900,City,40934,421 EAST 161 STREET,40.824276,-73.912896,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,26,City,41061,782 MYRTLE AVENUE,40.6949532,-73.9511595,,,,,,manhattan,MANHATTAN,11,11-11912,1654,42,City,41030,212 EAST 105 STREET betw 2 AVENUE & 3 AVENUE,40.790401,-73.944558,,,,,,queens,QUEENS,10,11-11756,11356,12,Private,41183,133-18 77 STREET betw 135 AVENUE & 133 AVENUE,40.750399,-73.859082,,,,,,,,staten island,STATEN ISLAND,1,11-11736,527,49,Private,40938,166 CANAL STREET,40.625609,-74.078642
bronx,BRONX,3,12-05377,2384,1,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,1,City,40938,415 EAST 162 STREET,40.824727,-73.912883,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,27,City,41061,"Marcy Ave,Brooklyn, NY",40.6975765,-73.9496477,,,,,,manhattan,MANHATTAN,11,11-11911,1655,31,Private,40938,242 EAST 106 STREET betw 2 AVENUE & OSVALDO VEGA PLAZA,40.791041,-73.944111,,,,,,queens,QUEENS,10,11-11563,14240,1330,Private,41214,162-28 104 STREET,40.760399,-73.865417,,,,,,,,staten island,STATEN ISLAND,1,11-11816,527,52,Private,40938,205 CANAL STREET,40.625251,-74.079786
bronx,BRONX,3,12-05377,2384,5,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,5,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,40.824727,-73.912883,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,28,City,41061,NOSTRAND AVENUE,40.6414193,-73.9485721,,,,,,manhattan,MANHATTAN,11,11-11185,1784,9,Private,41000,212 EAST 119 STREET betw 2 AVENUE & 3 AVENUE,40.799423,-73.937842,,,,,,queens,QUEENS,10,11-11563,14240,1331,Private,41214,162-28 106 STREET,40.696649,73.842061,,,,,,,,staten island,STATEN ISLAND,1,11-11817,556,100,City,40921,40 HILL STREET,40.621541,-74.079075
bronx,BRONX,3,12-05375,2384,25,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,25,City,40935,925 BROOK AVENUE,40.824726,-73.911563,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,29,City,41061,782 MYRTLE AVENUE,40.6949532,-73.9511595,,,,,,manhattan,MANHATTAN,12,11-10640,2121,1,Private,41244,1045 ST NICHOLAS AVENUE betw WEST 163 STREET & WEST 162 STREET,40.836013,-73.939892,,,,,,queens,QUEENS,12,12-05242,9618,16,City,40935,88-32 138 STREET,40.703158,-73.81602,,,,,,,,staten island,STATEN ISLAND,1,11-11715,650,26,Private,41244,527 VANDERBILT AVENUE,40.613864,-74.086853
bronx,BRONX,3,12-05375,2384,28,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,28,City,40935,925 BROOK AVENUE,40.824726,-73.921563,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,30,City,41061,"782 Marcy Ave,Brooklyn,NY 11216",40.686948,-73.9477728,,,,,,manhattan,MANHATTAN,12,11-11891,2123,36,Private,41244,508 WEST 166 STREET,40.838764,-73.938692,,,,,,queens,QUEENS,12,12-05085,10040,53,City,40935,106-10 REMINGTON STREET,40.689956,-73.806912,,,,,,,,staten island,STATEN ISLAND,1,11-11609,1074,13,City,40921,52 MAPLE AVENUE,40.638959,-74.134594
bronx,BRONX,3,12-05375,2384,32,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,32,City,40935,EAST 163 STREET & WASHINGTON AVENUE,40.8234623,-73.9062454,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,31,City,41061,782 NOSTRAND AVENUE,40.671982,-73.9505329,,,,,,manhattan,MANHATTAN,12,11-11892,2126,53,Private,41244,517 WEST 169 STREET,40.841039,-73.937333,,,,,,queens,QUEENS,12,12-05087,10043,19,City,40939,AT 144-29 105 AVENUE,40.704998,-73.813463,,,,,,,,staten island,STATEN ISLAND,1,11-11610,1184,160,Private,41153,355 SIMONSON AVENUE,40.627519,-74.1525994
bronx,BRONX,3,12-05375,2384,33,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,33,City,40935,EAST 163 STREET & WASHINGTON AVENUE,40.8234623,-73.9062454,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,32,City,41061,782 MYRTLE AVENUE,40.6949532,-73.9511595,,,,,,manhattan,MANHATTAN,12,12-05089,2129,50,City,40933,2264 AMSTERDAM AVENUE,40.8427617,-73.9351281,,,,,,queens,QUEENS,12,11-11632,10134,18,Private,40921,ADJ. 107-17 155 STREET,40.756733,-73.695128,,,,,,,,staten island,STATEN ISLAND,1,11-11611,1227,32,Private,41214,45 HARBOR ROAD,40.635821,-74.159887
bronx,BRONX,3,12-05375,2384,34,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,34,City,40935,EAST 163 STREET & WASHINGTON AVENUE,40.8234623,-73.9062454,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,67,City,40934,BETWEEN 623 & 637 GREENE AVENUE,40.689487,-73.943545,,,,,,manhattan,MANHATTAN,12,12-05089,2129,52,City,40933,2264 AMSTERDAM AVENUE,40.8427617,-73.9351281,,,,,,queens,QUEENS,12,12-05074,10161,27,City,40934,ADJ. 104-44 164 STREET,40.699108,-73.79234,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,20,Private,41061,951 BAY STREET,40.6194037,-74.0695985
bronx,BRONX,3,12-05377,2384,57,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,57,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,40.824727,-73.912883,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,68,City,40934,BETWEEN 623 & 637 GREENE AVENUE,40.689487,-73.953545,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05084,10162,56,City,40934,BETWEEN 104-49 & 104-53 164 STREET,40.699828,-73.792556,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,21,Private,41030,951 BAY STREET,40.6194037,-74.0695985
bronx,BRONX,3,12-05377,2384,58,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,58,City,40938,415 EAST 162 STREET,40.824727,-73.922883,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,69,City,40934,BETWEEN 623 & 637 GREENE AVENUE,40.689487,-73.933545,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05054,10163,90,Private,40934,ADJ. 107-02 165 STREET,40.698821,-73.79048,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,22,Private,41061,951 BAY STREET,40.6194037,-74.0695985
bronx,BRONX,3,12-05377,2384,59,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,59,City,40938,MELROSE AVENUE,40.821995,-73.91502,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,70,City,40934,BETWEEN 623 & 637 GREENE AVENUE,40.679487,-73.943545,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05051,10224,17,Private,40935,BETWEEN 170-18 & 170-14 LIBERTY AVENUE,40.703456,-73.78837,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,23,Private,41061,951 BAY STREET,40.6194037,-74.0695985
bronx,BRONX,3,12-05377,2384,60,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,60,City,40938,415 EAST 162 STREET,40.824727,-73.912883,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,71,City,40934,BETWEEN 623 & 637 GREENE AVENUE,40.699487,-73.943545,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,11-11485,12031,48,Private,41000,120-27 140 STREET betw 123 AVENUE & 120 AVENUE,40.675237,-73.80062,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,24,Private,41061,951 BAY STREET,40.6194037,-74.0695985
bronx,BRONX,3,11-11226,2385,1,Private,41061,OPPOSITE OF 451 EAST 164 STREET betw WASHINGTON AVENUE & BROOK AVENUE,,,,,,,,bronx,BRONX,3,11-11226,2385,1,Private,41061,451 EAST 164 STREET,40.82621,-73.910394,,,,,,brooklyn,BROOKLYN,3,11-11854,1867,35,Private,41244,166 HERKIMER STREET,40.679302,-73.947873,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05343,13022,167,City,40938,136-18 WESTGATE STREET,40.7062558,-73.80062,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,26,Private,41061,951 BAY STREET,40.6194037,-74.0695985
bronx,BRONX,3,11-11546,2745,40,Private,40926,BETWEEN 1147 & 1153 HOE AVENUE,,,,,,,,bronx,BRONX,3,11-11546,2745,40,Private,40926,1147 & 1153 HOE AVENUE,40.827623,-73.891051,,,,,,brooklyn,BROOKLYN,3,11-11880,1871,42,City,41183,446 Herkimer St,40.6788947,-73.9387605,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,13,11-11319,10741,48,Private,41000,222-17 JAMAICA AVENUE,40.7209373,-73.7320562,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,30,Private,41061,951 BAY STREET,40.6194037,-74.0695985
