Borough,Borough (upper),District,CCU,Block,Lot,OwnerType,Status_Date,Address,,,,,,,,BoroughB,Borough (upper),DistrictB,CCU,BlockB,LotB,OwnerTypeB,Status_Date,AddressB,,,,,,,,BoroughBR,,DistrictBR,,,,OwnerTypeBR,AddressBR,,,,,,,,,BoroughM,,DistrictM,,,,OwnerTypeM,AddressM,,,,,,,,,BoroughQ,,DistrictQ,,,,OwnerTypeQ,AddressQ,,,,,,,,,,,BoroughS,,DistrictS,,,,OwnerTypeS,AddressS,
bronx,BRONX,4,12-05008,2455,49,Private,40932,ADJ. 207 EAST 163 STREET betw SHERMAN AVENUE & SHERIDAN AVENUE,,,,,,,,bronx,BRONX,4,12-05008,2455,49,Private,40932,ADJ. 207 EAST 163 STREET betw SHERMAN AVENUE & SHERIDAN AVENUE,,,,,,,,brooklyn,BROOKLYN,4,12-05252,3387,1,City,40939,ADJ. 1036 JEFFERSON AVENUE betw BUSHWICK AVENUE & NYCTA SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11904,15837,49,City,41153,OPPOSITE OF 352 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05431,2514,60,City,40939,ADJ. 128 WEST 167 STREET betw OGDEN AVENUE & NELSON AVENUE,,,,,,,,bronx,BRONX,4,12-05431,2514,60,City,40939,ADJ. 128 WEST 167 STREET betw OGDEN AVENUE & NELSON AVENUE,,,,,,,,brooklyn,BROOKLYN,4,11-11571,3434,42,Private,41153,BETWEEN 1150 & 1146 DECATUR STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11904,15837,51,City,41153,OPPOSITE OF 352 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05430,2514,70,City,40939,BETWEEN 1123 & 1139 NELSON AVENUE,,,,,,,,bronx,BRONX,4,12-05430,2514,70,City,40939,BETWEEN 1123 & 1139 NELSON AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11703,3680,29,City,41214,ADJ. 1766 EAST NEW YORK AVENUE betw NYCTA SUBWAY & VAN SINDEREN AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11905,15837,52,City,41061,ADJ. 335 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05430,2514,72,City,40939,BETWEEN 1123 & 1139 NELSON AVENUE,,,,,,,,bronx,BRONX,4,12-05430,2514,72,City,40939,BETWEEN 1123 & 1139 NELSON AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11703,3680,129,City,41214,ADJ. 1766 EAST NEW YORK AVENUE betw NYCTA SUBWAY & VAN SINDEREN AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11905,15837,54,City,41061,ADJ. 335 BEACH 45 STREET betw BEACH CHANNEL DRIVE & REINHART ROAD,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05430,2514,73,City,40939,BETWEEN 1123 & 1139 NELSON AVENUE,,,,,,,,bronx,BRONX,4,12-05430,2514,73,City,40939,BETWEEN 1123 & 1139 NELSON AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11449,3722,114,Private,41244,ADJ. 424 GLENMORE AVENUE betw VERMONT STREET & NEW JERSEY AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11906,15848,57,City,40921,REAR OF 218 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05378,2830,44,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,bronx,BRONX,4,12-05378,2830,44,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,brooklyn,BROOKLYN,5,12-05200,3725,12,City,40934,ADJ. 488 GLENMORE AVENUE betw MILLER AVENUE & BRADFORD STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11906,15848,58,City,40921,REAR OF 218 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05378,2830,48,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,bronx,BRONX,4,12-05378,2830,48,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,brooklyn,BROOKLYN,5,12-05200,3725,13,City,40934,ADJ. 488 GLENMORE AVENUE betw MILLER AVENUE & BRADFORD STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11906,15848,60,City,40921,REAR OF 218 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05378,2830,52,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,bronx,BRONX,4,12-05378,2830,52,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,brooklyn,BROOKLYN,5,12-05191,3820,123,City,40939,ADJ. 491 ALABAMA AVENUE betw RIVERDALE AVENUE & NYCTA SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11896,15848,62,City,41214,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05378,2830,57,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,bronx,BRONX,4,12-05378,2830,57,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,brooklyn,BROOKLYN,5,12-05067,3865,24,City,40927,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11896,15848,63,City,41214,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END,,,,,,,,,,,,,,,,,,
bronx,BRONX,4,12-05378,2830,62,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,bronx,BRONX,4,12-05378,2830,62,City,40938,REAR OF 1346 SHERIDAN AVENUE betw EAST 170 STREET & MARCY PLACE,,,,,,,,brooklyn,BROOKLYN,5,12-05067,3865,25,City,40927,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11896,15848,65,City,41214,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END,,,,,,,,,,,,,,,,,,
bronx,BRONX,5,11-11728,2814,8,Private,41183,REAR OF 1920 ANTHONY AVENUE betw ECHO PLACE & EAST TREMONT AVENUE,,,,,,,,bronx,BRONX,5,11-11728,2814,8,Private,41183,REAR OF 1920 ANTHONY AVENUE betw ECHO PLACE & EAST TREMONT AVENUE,,,,,,,,brooklyn,BROOKLYN,5,12-05067,3865,26,City,40927,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11896,15848,67,City,41214,ADJ. 216 BEACH 40 STREET betw ROCKAWAY BEACH BOULEVARD & DEAD END,,,,,,,,,,,,,,,,,,
bronx,BRONX,5,12-05006,2867,125,City,41244,REAR OF 1821 DAVIDSON AVENUE betw WEST 177 STREET & WEST 176 STREET,,,,,,,,bronx,BRONX,5,12-05006,2867,125,City,41244,REAR OF 1821 DAVIDSON AVENUE betw WEST 177 STREET & WEST 176 STREET,,,,,,,,brooklyn,BROOKLYN,5,12-05067,3865,27,City,40927,ADJ. 719 VAN SINDEREN AVENUE betw LINDEN BOULEVARD & NEW LOTS AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11900,15849,18,City,41214,ADJ. 40-03 ROCKAWAY BEACH BOULEVARD betw BEACH 41 STREET & BEACH 40 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,5,12-05007,2868,3,City,41183,ADJ. 156 MORTON PLACE betw DR M L KING JR BOULEVARD & HARRISON AVENUE,,,,,,,,bronx,BRONX,5,12-05007,2868,3,City,41183,ADJ. 156 MORTON PLACE betw DR M L KING JR BOULEVARD & HARRISON AVENUE,,,,,,,,brooklyn,BROOKLYN,5,12-05041,3866,41,City,40932,BETWEEN 644 & 638 HINSDALE STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11900,15849,19,City,41214,ADJ. 40-03 ROCKAWAY BEACH BOULEVARD betw BEACH 41 STREET & BEACH 40 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,5,11-11755,3186,73,Private,41153,ADJ. 2255 WALTON AVENUE betw EAST 183 STREET & EAST 182 STREET,,,,,,,,bronx,BRONX,5,11-11755,3186,73,Private,41153,ADJ. 2255 WALTON AVENUE betw EAST 183 STREET & EAST 182 STREET,,,,,,,,brooklyn,BROOKLYN,5,12-05042,3866,68,City,41214,ADJ. 1747 LINDEN BOULEVARD betw HINSDALE STREET & SNEDIKER AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11900,15849,20,City,41214,ADJ. 40-03 ROCKAWAY BEACH BOULEVARD betw BEACH 41 STREET & BEACH 40 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,6,11-11866,2900,28,Private,41244,ADJ. 4147 PARK AVENUE betw EAST 176 STREET & EAST 175 STREET,,,,,,,,bronx,BRONX,6,11-11866,2900,28,Private,41244,ADJ. 4147 PARK AVENUE betw EAST 176 STREET & EAST 175 STREET,,,,,,,,brooklyn,BROOKLYN,5,12-05043,3992,45,City,41214,OPPOSITE OF 868A GLENMORE AVENUE betw MILFORD STREET & MONTAUK AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11898,15850,6,City,41153,ADJ. 41-11 ROCKAWAY BEACH BOULEVARD betw BEACH 42 STREET & BEACH 41 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,6,11-11695,2947,18,City,40969,ADJ. 1899 BELMONT AVENUE betw EAST TREMONT AVENUE & BEND,,,,,,,,bronx,BRONX,6,11-11695,2947,18,City,40969,ADJ. 1899 BELMONT AVENUE betw EAST TREMONT AVENUE & BEND,,,,,,,,brooklyn,BROOKLYN,5,12-05044,4000,3,City,41214,ADJ. 335 ASHFORD STREET betw PITKIN AVENUE & GLENMORE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11902,15851,33,City,41244,OPPOSITE OF 42-16 ROCKAWAY BEACH BOULEVARD betw BEACH 43 STREET & BEACH 42 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,7,11-11754,3198,12,Private,41061,NEAR 2310 GRAND AVENUE betw WEST 184 STREET & NORTH STREET,,,,,,,,bronx,BRONX,7,11-11754,3198,12,Private,41061,NEAR 2310 GRAND AVENUE betw WEST 184 STREET & NORTH STREET,,,,,,,,brooklyn,BROOKLYN,5,11-11958,4050,22,City,41183,ADJ. 582 LINWOOD STREET betw BLAKE AVENUE & SUTTER AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11902,15851,42,City,41244,OPPOSITE OF 42-16 ROCKAWAY BEACH BOULEVARD betw BEACH 43 STREET & BEACH 42 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,8,11-11585,3253,202,Private,41030,REAR OF 3065 SEDGWICK AVENUE betw PEROT STREET & RESERVOIR AVENUE,,,,,,,,bronx,BRONX,8,11-11585,3253,202,Private,41030,REAR OF 3065 SEDGWICK AVENUE betw PEROT STREET & RESERVOIR AVENUE,,,,,,,,brooklyn,BROOKLYN,5,12-05092,4067,12,City,40926,ADJ. 661 LINWOOD STREET betw DUMONT AVENUE & BLAKE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11879,15864,1,City,41153,N/S SPRAYVIEW AVENUE betw BEACH 38TH ST. & BEACH 37TH ST.,,,,,,,,,,,,,,,,,,
bronx,BRONX,8,11-11973,3253,204,Private,40933,ADJ. 3056 KINGSBRIDGE TERRACE betw PEROT STREET & ALBANY CRESCENT,,,,,,,,bronx,BRONX,8,11-11973,3253,204,Private,40933,ADJ. 3056 KINGSBRIDGE TERRACE betw PEROT STREET & ALBANY CRESCENT,,,,,,,,brooklyn,BROOKLYN,5,11-11968,4074,39,City,41183,ADJ. 779 LIVONIA AVENUE betw HENDRIX STREET & VAN SICLEN AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11961,15870,60,City,41214,AT 42-00 BEACH 38 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,8,11-11601,3257,39,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,bronx,BRONX,8,11-11601,3257,39,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,brooklyn,BROOKLYN,5,11-11950,4078,11,City,41061,BETWEEN 577 & 583 JEROME STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,12-05039,15891,1,City,40921,SOUTH SIDE OF ARVERNE BLVD betw BEACH 54 STREET & BEACH 56 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,8,11-11601,3257,46,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,bronx,BRONX,8,11-11601,3257,46,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,brooklyn,BROOKLYN,5,11-11969,4081,23,City,41183,BETWEEN 982 & 976 DUMONT AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,12-05038,15919,1,City,40935,AT 1-35 BEACH 52 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,8,11-11601,3257,47,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,bronx,BRONX,8,11-11601,3257,47,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,brooklyn,BROOKLYN,5,11-11970,4083,29,Private,40932,ADJ. 823 NEW LOTS AVENUE betw ESSEX STREET & LINWOOD STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,12-05164,15965,104,City,40938,BETWEEN 429 & 433 BEACH 43 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,8,11-11601,3257,71,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,bronx,BRONX,8,11-11601,3257,71,Private,41214,ADJ. 3138 HEATH AVENUE betw FT INDEPENDENCE STREET & BEND,,,,,,,,brooklyn,BROOKLYN,5,12-05046,4092,1,Private,40933,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11859,16100,31,City,41030,OPPOSITE OF 2-52 BEACH CHANNEL DRIVE,,,,,,,,,,,,,,,,,,
bronx,BRONX,8,11-11478,5727,560,Private,41030,OPPOSITE OF 2750 JOHNSON AVENUE betw WEST 230 STREET & BEND,,,,,,,,bronx,BRONX,8,11-11478,5727,560,Private,41030,OPPOSITE OF 2750 JOHNSON AVENUE betw WEST 230 STREET & BEND,,,,,,,,brooklyn,BROOKLYN,5,12-05046,4092,2,Private,40933,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11858,16100,38,City,41030,OPPOSITE OF 245 BEACH CHANNEL DRIVE,,,,,,,,,,,,,,,,,,
bronx,BRONX,9,11-11723,3597,40,Private,41153,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE,,,,,,,,bronx,BRONX,9,11-11723,3597,40,Private,41153,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE,,,,,,,,brooklyn,BROOKLYN,5,12-05046,4092,3,Private,40933,ADJ. 607 JEROME STREET betw NEW LOTS AVENUE & NYCTA SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,11-11790,16103,60,City,41061,AT 83-00 BEACH 83 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,9,11-11723,3597,42,Private,41153,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE,,,,,,,,bronx,BRONX,9,11-11723,3597,42,Private,41153,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE,,,,,,,,brooklyn,BROOKLYN,5,12-05162,4142,32,City,40933,OPPOSITE OF 85 DINSMORE PLACE betw CHESTNUT STREET & RICHMOND STREET,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,14,12-05049,16106,1,City,40933,OPPOSITE OF 82-03 BEACH CHANNEL DRIVE betw ROCKAWAY FREEWAY & BEACH 82 STREET,,,,,,,,,,,,,,,,,,
bronx,BRONX,9,11-11723,3597,43,Private,41183,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE,,,,,,,,bronx,BRONX,9,11-11723,3597,43,Private,41183,ADJ. 757 BEACH AVENUE betw LAFAYETTE AVENUE & SEWARD AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11922,4223,6,City,41183,NEAR 553 GRANT AVENUE betw PITKIN AVENUE & GLENMORE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,9,12-05148,3706,1,City,40925,AT 930 ZEREGA AVENUE betw CROSS BRONX EXPWY NB ET 6 A & QUIMBY AVENUE,,,,,,,,bronx,BRONX,9,12-05148,3706,1,City,40925,AT 930 ZEREGA AVENUE betw CROSS BRONX EXPWY NB ET 6 A & QUIMBY AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11923,4258,1,City,41061,REAR OF 338 FORBELL STREET betw SUTTER AVENUE & CONDUIT BOULEVARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,9,11-11725,3771,64,Private,41153,BETWEEN 1229 & 1233 WHEELER AVENUE,,,,,,,,bronx,BRONX,9,11-11725,3771,64,Private,41153,BETWEEN 1229 & 1233 WHEELER AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11924,4259,6,City,41153,REAR OF 1483 SUTTER AVENUE betw DREW STREET & FORBELL STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,9,11-11696,3918,22,Private,41061,ADJ. 1762 EAST TREMONT AVENUE betw ST LAWRENCE AVENUE & BEND,,,,,,,,bronx,BRONX,9,11-11696,3918,22,Private,41061,ADJ. 1762 EAST TREMONT AVENUE betw ST LAWRENCE AVENUE & BEND,,,,,,,,brooklyn,BROOKLYN,5,11-11926,4276,35,Private,40933,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,11,12-05060,4320,41,Private,40933,ADJ. 2181 WALLACE AVENUE betw PELHAM PARKWAY & LYDIG AVENUE,,,,,,,,bronx,BRONX,11,12-05060,4320,41,Private,40933,ADJ. 2181 WALLACE AVENUE betw PELHAM PARKWAY & LYDIG AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11926,4276,40,Private,40933,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,12,11-11774,4635,31,Private,40921,BETWEEN 912 & 934 EAST GUNHILL ROAD,,,,,,,,bronx,BRONX,12,11-11774,4635,31,Private,40921,BETWEEN 912 & 934 EAST GUNHILL ROAD,,,,,,,,brooklyn,BROOKLYN,5,11-11926,4276,43,Private,40933,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,12,11-11774,4635,32,Private,40921,BETWEEN 912 & 934 EAST GUNHILL ROAD,,,,,,,,bronx,BRONX,12,11-11774,4635,32,Private,40921,BETWEEN 912 & 934 EAST GUNHILL ROAD,,,,,,,,brooklyn,BROOKLYN,5,11-11926,4276,44,Private,40933,REAR OF 673 DREW STREET betw BLAKE AVENUE & SUTTER AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,12,11-11694,4657,72,Private,41000,ADJ. 730 EAST 212 STREET betw HOLLAND AVENUE & WHITE PLAINS ROAD,,,,,,,,bronx,BRONX,12,11-11694,4657,72,Private,41000,ADJ. 730 EAST 212 STREET betw HOLLAND AVENUE & WHITE PLAINS ROAD,,,,,,,,brooklyn,BROOKLYN,5,11-11787,4290,30,Private,41153,OPPOSITE OF 1469 BLAKE AVENUE betw DREW STREET & FORBELL STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,12,11-11640,4727,24,Private,41244,REAR OF 1206 EAST 222 STREET betw KINGSLAND AVENUE & NEEDHAM AVENUE,,,,,,,,bronx,BRONX,12,11-11640,4727,24,Private,41244,REAR OF 1206 EAST 222 STREET betw KINGSLAND AVENUE & NEEDHAM AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11955,4309,1,City,41153,ADJ. 745 BARBEY STREET betw HEGEMAN AVENUE & MC CLANCY PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bronx,BRONX,12,12-05004,4799,39,Private,40938,OPPOSITE OF 2833 ELY AVENUE betw ARNOW AVENUE & BARTOW AVENUE,,,,,,,,bronx,BRONX,12,12-05004,4799,39,Private,40938,OPPOSITE OF 2833 ELY AVENUE betw ARNOW AVENUE & BARTOW AVENUE,,,,,,,,brooklyn,BROOKLYN,5,11-11956,4309,19,Private,40928,ADJ. 682 JEROME STREET betw HEGEMAN AVENUE & MC CLANCY PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,1,11-11878,2147,1,City,41061,ADJ. 115 DIVISION AVENUE betw DRIGGS AVENUE & BEDFORD AVENUE,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,11-11955,4309,46,City,41153,ADJ. 745 BARBEY STREET betw HEGEMAN AVENUE & MC CLANCY PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,1,11-11684,2399,17,Private,41030,ADJ. 381 SOUTH 1 STREET betw HOOPER STREET & GRAND ST EXTENSION,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,11-11954,4313,6,City,41153,OPPOSITE OF 767 NEW LOTS AVENUE betw ELTON STREET & NYCTA SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,1,11-11684,2399,19,Private,41030,ADJ. 381 SOUTH 1 STREET betw HOOPER STREET & GRAND ST EXTENSION,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,11-11951,4348,48,City,41061,ADJ. 879 NEW JERSEY AVENUE betw STANLEY AVENUE & LINDEN BOULEVARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,1,11-11735,2412,124,Private,41030,ADJ. 373 SOUTH 2 STREET betw HOOPER STREET & KEAP STREET,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,11-11951,4348,50,City,41061,ADJ. 879 NEW JERSEY AVENUE betw STANLEY AVENUE & LINDEN BOULEVARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,2,11-11944,56,37,City,40921,ADJ. 111 GOLD STREET betw YORK STREET & FRONT STREET,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,12-05195,4448,1,City,40935,OPPOSITE OF 12441 FLATLANDS AVENUE betw ELTON STREET & ASHFORD STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,2,12-05053,389,27,City,40939,NEAR 350 BERGEN STREET betw 4 AVENUE & 3 AVENUE,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,11-11788,4472,52,Private,41183,ADJ. 479 RUBY STREET betw LINDEN BOULEVARD & 135 AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,2,12-05053,389,29,City,40939,NEAR 350 BERGEN STREET betw 4 AVENUE & 3 AVENUE,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,12-05237,4548,112,City,40934,OPPOSITE OF 1013 HEMLOCK STREET betw AUTUMN LANE & WORTMAN AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,3,12-05114,1718,15,City,40933,ADJ. 40 NOSTRAND AVENUE betw PARK AVENUE & LEE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,12-05234,4551,1,City,40935,NEAR 987 LINCOLN AVENUE betw WORTMAN AVENUE & STANLEY AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,3,11-11894,1754,24,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,5,12-05236,4569,1,City,40934,OPPOSITE OF 1145 GRANT AVENUE betw FLATLANDS AVENUE & COZINE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,3,11-11894,1754,25,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,6,11-11559,357,36,City,41061,ADJ. 296 COLUMBIA STREET betw WOODHULL STREET & SUMMIT STREET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brooklyn,BROOKLYN,3,11-11894,1754,26,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,,,,,,,,,,,,,,,,,brooklyn,BROOKLYN,8,11-11929,1126,7,Private,40934,ADJ. 619 CLASSON AVENUE betw PACIFIC STREET & ATLANTIC AVENUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
