Borough,Borough (upper),District,CCU,Block,Lot,OwnerType,Status_Date,Address,,,,,,,,BoroughB,Borough (upper),DistrictB,CCU,BlockB,LotB,OwnerTypeB,Status_Date,AddressB,,,,,,,,BoroughBR,,DistrictBR,,,,OwnerTypeBR,AddressBR,,,,,,,,,BoroughM,,DistrictM,,,,OwnerTypeM,AddressM,,,,,,,,,BoroughQ,,DistrictQ,,,,OwnerTypeQ,AddressQ,,,,,,,,,,,BoroughS,,DistrictS,,,,OwnerTypeS,AddressS,
bronx,BRONX,3,12-05331,2383,8900,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05331,2383,8900,City,40934,ADJ. 421 EAST 161 STREET betw ELTON AVENUE & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,26,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,11,11-11912,1654,42,City,41030,ADJ. 212 EAST 105 STREET betw 2 AVENUE & 3 AVENUE,,,,,,,,queens,QUEENS,10,11-11756,11356,12,Private,41183,ADJ. 133-18 77 STREET betw 135 AVENUE & 133 AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11736,527,49,Private,40938,OPPOSITE OF 166 CANAL STREET betw TOMPKINS AVENUE & BEND
bronx,BRONX,3,12-05377,2384,1,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,1,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,27,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,11,11-11911,1655,31,Private,40938,ADJ. 242 EAST 106 STREET betw 2 AVENUE & OSVALDO VEGA PLAZA,,,,,,,,queens,QUEENS,10,11-11563,14240,1330,Private,41214,ADJ. 162-28 104 STREET betw RAU COURT & DUNTON COURT,,,,,,,,,,staten island,STATEN ISLAND,1,11-11816,527,52,Private,40938,ADJ. 205 CANAL STREET betw BROAD STREET & BEND
bronx,BRONX,3,12-05377,2384,5,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,5,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,28,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,11,11-11185,1784,9,Private,41000,OPPOSITE OF 212 EAST 119 STREET betw 2 AVENUE & 3 AVENUE,,,,,,,,queens,QUEENS,10,11-11563,14240,1331,Private,41214,ADJ. 162-28 104 STREET betw RAU COURT & DUNTON COURT,,,,,,,,,,staten island,STATEN ISLAND,1,11-11817,556,100,City,40921,ADJ. 40 HILL STREET betw CHERYL WHITE PLACE & TOMPKINS AVENUE
bronx,BRONX,3,12-05375,2384,25,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,25,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,29,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,12,11-10640,2121,1,Private,41244,OPPOSITE OF 1045 ST NICHOLAS AVENUE betw WEST 163 STREET & WEST 162 STREET,,,,,,,,queens,QUEENS,12,12-05242,9618,16,City,40935,ADJ. 88-32 138 STREET betw JAMAICA AVENUE & VAN WYCK EXPRESSWAY,,,,,,,,,,staten island,STATEN ISLAND,1,11-11715,650,26,Private,41244,ADJ. 527 VANDERBILT AVENUE betw ELLINGTON STREET & CLIFFSIDE AVENUE
bronx,BRONX,3,12-05375,2384,28,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,28,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,30,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,12,11-11891,2123,36,Private,41244,ADJ. 508 WEST 166 STREET betw AUDUBON AVENUE & AMSTERDAM AVENUE,,,,,,,,queens,QUEENS,12,12-05085,10040,53,City,40935,ADJ. 106-10 REMINGTON STREET betw SHORE AVENUE & 107 AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11609,1074,13,City,40921,ADJ. 52 MAPLE AVENUE betw NYCTA SUBWAY & RICHMOND TERRACE
bronx,BRONX,3,12-05375,2384,32,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,32,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,31,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,12,11-11892,2126,53,Private,41244,ADJ. 517 WEST 169 STREET betw AUDUBON AVENUE & AMSTERDAM AVENUE,,,,,,,,queens,QUEENS,12,12-05087,10043,19,City,40939,AT 144-29 105 AVENUE betw INWOOD STREET & PINEGROVE STREET,,,,,,,,,,staten island,STATEN ISLAND,1,11-11610,1184,160,Private,41153,ADJ. 355 SIMONSON AVENUE betw CLEMENT A FUMANDO WAY & NETHERLAND AVENUE
bronx,BRONX,3,12-05375,2384,33,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,33,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,brooklyn,BROOKLYN,3,11-11894,1754,32,City,41061,ADJ. 782 MYRTLE AVENUE betw MARCY AVENUE & NOSTRAND AVENUE,,,,,,,,manhattan,MANHATTAN,12,12-05089,2129,50,City,40933,ADJ. 2264 AMSTERDAM AVENUE betw WEST 173 STREET & WEST 172 STREET,,,,,,,,queens,QUEENS,12,11-11632,10134,18,Private,40921,ADJ. 107-17 155 STREET betw 108 AVENUE & 107 AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11611,1227,32,Private,41214,ADJ. 45 HARBOR ROAD betw NYCTA SUBWAY & RICHMOND TERRACE
bronx,BRONX,3,12-05375,2384,34,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,bronx,BRONX,3,12-05375,2384,34,City,40935,AT 925 BROOK AVENUE betw EAST 163 STREET & WASHINGTON AVENUE,,,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,67,City,40934,BETWEEN 623 & 637 GREENE AVENUE,,,,,,,,manhattan,MANHATTAN,12,12-05089,2129,52,City,40933,ADJ. 2264 AMSTERDAM AVENUE betw WEST 173 STREET & WEST 172 STREET,,,,,,,,queens,QUEENS,12,12-05074,10161,27,City,40934,ADJ. 104-44 164 STREET betw 107 AVENUE & 104 ROAD,,,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,20,Private,41061,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
bronx,BRONX,3,12-05377,2384,57,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,57,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,68,City,40934,BETWEEN 623 & 637 GREENE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05084,10162,56,City,40934,BETWEEN 104-49 & 104-53 164 STREET,,,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,21,Private,41030,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
bronx,BRONX,3,12-05377,2384,58,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,bronx,BRONX,3,12-05377,2384,58,City,40938,ADJ. 415 EAST 162 STREET betw DEAD END & MELROSE AVENUE,,,,,,,,brooklyn,BROOKLYN,3,12-05180,1795,69,City,40934,BETWEEN 623 & 637 GREENE AVENUE,,,,,,,,,,,,,,,,,,,,,,,,queens,QUEENS,12,12-05054,10163,90,Private,40934,ADJ. 107-02 165 STREET betw 108 AVENUE & 107 AVENUE,,,,,,,,,,staten island,STATEN ISLAND,1,11-11660,2822,22,Private,41061,NEAR 951 BAY STREET betw WILLOW AVENUE & CAMDEN STREET
